项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_SHPDAZF1101,上海浦东新区安置房11-01地块,419619916.9843297,458914358.1900359,115358555.77532664,126111949.08176996,403681631.3055001,111569244.38999999
U_ORG_XM_SHTKSYGZ,上海泰康申园一期改造,23206979.157511044,25597671.48141924,4422956.852818171,4876858.363353729,22939835.26,4382223.85
U_ORG_XM_SHTXGKJCF,上海腾讯改扩建厂房,48412779.288659945,53715396.41990141,1047456.0655866325,1162593.8349619305,48033567.607999995,1039325.25
U_ORG_XM_SHWDNZJD,上海万科南站商务城三期机电,10751424.507785013,11719052.721635085,9492855.143671978,10347212.113797903,9441347.14,8336136.359999999
U_ORG_XM_SHWKXMJD,上海万科莘闵综合机电,17122974.21703188,19006501.380584873,1560014.5499598705,1731616.150397207,16041151,1463344.43
U_ORG_XM_SHXYDJD,上海商汤科技新一代人工智能计算和赋能平台机电,22892287.091254525,24952592.929443944,22892287.091254525,24952592.929443944,21662329.259999998,21662329.259999998
U_ORG_XM_SJZXJD,北京数据港1号数据中心机电,90717765.84817241,98882365.01207717,88193401.86591536,96130808.26764382,89791546.07,87296696.03
U_ORG_XM_SKWKZX,北京首开万科中心,509781213.6729055,522388207.61198366,11698057.4055864,11970491.245310994,497257400.15,11350310.379999999
U_ORG_XM_SMDLGZ,北京生命科学实验室改造,81472336.17383114,88785619.7003572,-2836992.5009839484,-3229700.373023942,79525992.19,-2722368.58
U_ORG_XM_SMKYDL,北京生命科学科研大楼,133678929.09341331,133780864.88662554,16809248.833074134,16810397.532439858,129863456.28999999,16329121.92
U_ORG_XM_SRHXLIVEXJYQ,上饶华熙Live·信江一期,84433016.04889174,92876317.653041,5959051.650249142,6554956.814852483,78518098.73383163,5624495.61796117
U_ORG_XM_SXDTZDYQ,山西大同正大一期,234155148.1909636,255246529.96138343,37188338.3448455,40889602.47562784,230835969.80999997,36636863.2
U_ORG_XM_SXQQJD,绍兴钱清B地块商业机电,1563703.0067201012,1704436.277522719,1563703.0067201012,1704436.277522719,1555016.03,1555016.03
U_ORG_XM_SXWNZDYQ,陕西渭南澄城正大一期,91499806.94387963,100333764.30588512,1910477.3608966428,2094926.6631666848,89712904.40670002,1873167.59
U_ORG_XM_SYHTWWLJD,三亚海棠湾国际购物中心物流基地,58473091.05082843,63723062.316463925,2944704.096080547,3206184.016173495,57518920.23368931,2894012.21
U_ORG_XM_SYHXD,三亚海棠湾河心岛,249860236.98248163,274846260.67413646,1407276.091166453,1548003.700271152,244628909.3113,1377509.7999999993
U_ORG_XM_SYJLDK,沈阳市沈河区金廊22-1地块,93346989.80817881,101748218.89081788,93346989.80817881,101748218.89081788,92413519.91000001,92413519.91000001
